review_decision,review_instruction,review_notes,reviewed_by,canonical_name,submission_url_override,pricing,lang,classification,candidate_import_recommendation,url,domain,source_files,source_locations,registry_target_ids,registry_submit_urls,occurrence_count
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/ai%e4%ba%a7%e5%93%81%e6%94%b6%e5%bd%95%e5%af%bc%e8%88%aa,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[2].sources[0].url; 91wink-seo-resource-directory-domains.json:json:[49].sources[0].url; 91wink-seo-resource-directory-domains.json:json:[50].sources[0].url; 91wink-seo-resource-directory.json:json:results[43].articleUrl,,,4
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/aigc-160-ai-%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[32].sources[0].url; 91wink-seo-resource-directory.json:json:results[27].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/appa-list-ai%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[11].sources[0].url; 91wink-seo-resource-directory.json:json:results[6].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/ash-list-ai%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[27].sources[0].url; 91wink-seo-resource-directory.json:json:results[22].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/latest-ai-updates-ai-%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[36].sources[0].url; 91wink-seo-resource-directory.json:json:results[31].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/launch-scroll-ai%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa%e7%ab%99,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[26].sources[0].url; 91wink-seo-resource-directory.json:json:results[21].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/my-launch-stash-ai%e5%b7%a5%e5%85%b7%e8%b5%84%e6%ba%90%e5%af%bc%e8%88%aa,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[13].sources[0].url; 91wink-seo-resource-directory.json:json:results[8].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/my-start-tools-%e5%88%9d%e5%88%9b%e5%85%ac%e5%8f%b8%e5%b7%a5%e5%85%b7%e5%8c%85,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[21].sources[0].url; 91wink-seo-resource-directory.json:json:results[16].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/power-up-tools-ai%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[17].sources[0].url; 91wink-seo-resource-directory.json:json:results[12].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/product-list-dir-ai%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[20].sources[0].url; 91wink-seo-resource-directory.json:json:results[15].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/product-wing-ai%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa%e7%bd%91%e7%ab%99,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[44].sources[0].url; 91wink-seo-resource-directory.json:json:results[39].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/saas-field-ai-%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa%e7%ab%99,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[33].sources[0].url; 91wink-seo-resource-directory.json:json:results[28].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/saas-hub-directory-ai-saas%e5%af%bc%e8%88%aa,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[18].sources[0].url; 91wink-seo-resource-directory.json:json:results[13].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/saas-roots-ai-%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa%e7%ab%99,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[34].sources[0].url; 91wink-seo-resource-directory.json:json:results[29].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/saas-tools-dir-ai%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa%e7%ab%99,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[25].sources[0].url; 91wink-seo-resource-directory.json:json:results[20].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/saas-wheel-ai-%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa%e7%bd%91%e7%ab%99,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[40].sources[0].url; 91wink-seo-resource-directory.json:json:results[35].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/smart-kit-hub-ai-%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa%e7%ab%99,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[39].sources[0].url; 91wink-seo-resource-directory.json:json:results[34].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/software-bolt-ai-%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[37].sources[0].url; 91wink-seo-resource-directory.json:json:results[32].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/solver-tools-ai-%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa%e7%ab%99,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[41].sources[0].url; 91wink-seo-resource-directory.json:json:results[36].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/source-dir-ai%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa%e7%ab%99,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[15].sources[0].url; 91wink-seo-resource-directory.json:json:results[10].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/special/seoresourcedirectory,91wink.com,91wink-seo-resource-directory.json,91wink-seo-resource-directory.json:json:archiveUrls[0],,,1
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/special/seoresourcedirectory/page/2,91wink.com,91wink-seo-resource-directory.json,91wink-seo-resource-directory.json:json:archiveUrls[1],,,1
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/stack-directory-ai%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa%e7%ab%99,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[6].sources[0].url; 91wink-seo-resource-directory.json:json:results[1].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/startup-aideas-ai%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[29].sources[0].url; 91wink-seo-resource-directory.json:json:results[24].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/startup-vessel-ai%e5%b7%a5%e5%85%b7%e8%b5%84%e6%ba%90%e5%af%bc%e8%88%aa,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[12].sources[0].url; 91wink-seo-resource-directory.json:json:results[7].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/submitmatic-%e4%b8%80%e4%b8%aa%e7%94%b1-ai-%e9%a9%b1%e5%8a%a8%e7%9a%84%e5%b9%b3%e5%8f%b0%ef%bc%8c%e5%8f%af%e8%87%aa%e5%8a%a8%e5%b0%86%e6%82%a8%e7%9a%84-saas-%e6%8f%90%e4%ba%a4%e5%88%b0-100-%e5%a4%9a,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[5].sources[0].url; 91wink-seo-resource-directory.json:json:results[0].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/super-ai-boom-ai-%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa%e7%ab%99,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[35].sources[0].url; 91wink-seo-resource-directory.json:json:results[30].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/that-app-show-ai%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[10].sources[0].url; 91wink-seo-resource-directory.json:json:results[5].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/the-app-tools-ai%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa%e7%ab%99,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[23].sources[0].url; 91wink-seo-resource-directory.json:json:results[18].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/the-core-tools-ai%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[22].sources[0].url; 91wink-seo-resource-directory.json:json:results[17].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/tiny-tool-hub-ai%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[24].sources[0].url; 91wink-seo-resource-directory.json:json:results[19].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/tool-find-dir-ai%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[16].sources[0].url; 91wink-seo-resource-directory.json:json:results[11].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/tool-signal-ai%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa%e7%ab%99,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[31].sources[0].url; 91wink-seo-resource-directory.json:json:results[26].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/tools-cosmos-ai%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[19].sources[0].url; 91wink-seo-resource-directory.json:json:results[14].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/tools-list-hq-ai%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[7].sources[0].url; 91wink-seo-resource-directory.json:json:results[2].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/tools-under-radar-ai%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa%e7%ab%99,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[30].sources[0].url; 91wink-seo-resource-directory.json:json:results[25].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/top-trend-tools-ai-%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa%e7%ab%99,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[42].sources[0].url; 91wink-seo-resource-directory.json:json:results[37].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/toshi-list-ai%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[9].sources[0].url; 91wink-seo-resource-directory.json:json:results[4].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/trustiner-ai%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[14].sources[0].url; 91wink-seo-resource-directory.json:json:results[9].articleUrl,,,2
