batch_id,batch_order,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,canonical_name,pricing,lang,classification,candidate_import_recommendation,url,domain,occurrence_count,source_files,source_locations,registry_target_ids,registry_submit_urls
p2-recheck-003,110,P2,26,163,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,browneyedbaker.com,unknown,unknown,missing_domain,needs_manual_review,https://www.browneyedbaker.com/how-to-make-pate-a-choux-fill-eclairs-and-cream-puffs,browneyedbaker.com,1,resources/backlink-resources.json,resources/backlink-resources.json:389,,
p2-recheck-003,111,P2,26,164,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,bugs.documentfoundation.org,unknown,unknown,missing_domain,needs_manual_review,https://bugs.documentfoundation.org/show_bug.cgi?id=162681,bugs.documentfoundation.org,1,resources/backlink-resources.json,resources/backlink-resources.json:48,,
p2-recheck-003,112,P2,26,174,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,calaos.fr,unknown,unknown,missing_domain,needs_manual_review,https://calaos.fr/forum/member.php?action=profile&uid=7732,calaos.fr,1,resources/backlink-resources.json,resources/backlink-resources.json:1764,,
p2-recheck-003,113,P2,26,175,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,cantstayoutofthekitchen.com,unknown,unknown,missing_domain,needs_manual_review,https://cantstayoutofthekitchen.com/2022/01/06/blueberry-walnut-overnight-oatmeal,cantstayoutofthekitchen.com,1,resources/backlink-resources.json,resources/backlink-resources.json:1731,,
p2-recheck-003,114,P2,26,177,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,capturebilling.com,unknown,unknown,missing_domain,needs_manual_review,https://capturebilling.com/new-quality-aca-reporting-standards,capturebilling.com,1,resources/backlink-resources.json,resources/backlink-resources.json:719,,
p2-recheck-003,115,P2,26,178,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,career.tu-sofia.bg,unknown,unknown,missing_domain,needs_manual_review,https://career.tu-sofia.bg/employer/geometry-dash-subzero,career.tu-sofia.bg,1,resources/backlink-resources.json,resources/backlink-resources.json:587,,
p2-recheck-003,116,P2,26,179,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,cartoonresearch.com,unknown,unknown,missing_domain,needs_manual_review,https://cartoonresearch.com/index.php/forgotten-anime-57-kirara-2000,cartoonresearch.com,1,resources/backlink-resources.json,resources/backlink-resources.json:1632,,
p2-recheck-003,117,P2,26,180,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,certifiedpastryaficionado.com,unknown,unknown,missing_domain,needs_manual_review,https://www.certifiedpastryaficionado.com/churro-waffles,certifiedpastryaficionado.com,1,resources/backlink-resources.json,resources/backlink-resources.json:2369,,
p2-recheck-003,118,P2,26,181,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,certifiedpastryaficionado.com,unknown,unknown,missing_domain,needs_manual_review,https://www.certifiedpastryaficionado.com/nutella-cream-pie,certifiedpastryaficionado.com,1,resources/backlink-resources.json,resources/backlink-resources.json:1423,,
p2-recheck-003,119,P2,26,183,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,chandigarhcity.com,unknown,unknown,missing_domain,needs_manual_review,https://www.chandigarhcity.com/discussions/threads/quordle-to-quorle,chandigarhcity.com,1,resources/backlink-resources.json,resources/backlink-resources.json:345,,
