batch_id,batch_order,review_row,review_action,url,domain,http_status,fetch_ok,final_url,final_domain,domain_changed,content_type,title,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,suggested_decision,evidence_notes,fetch_error,checked_at
p2-recheck-002,117,93,verify_directory_fit_before_any_approval,https://api.indexnow.org/indexnow,api.indexnow.org,,no,,,unknown,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,fetch failed,fetch failed,2026-05-22T10:49:39.837Z
p2-recheck-001,13,94,verify_directory_fit_before_any_approval,https://api.slack.com/apps,api.slack.com,200,yes,https://api.slack.com/apps,api.slack.com,no,text/html; charset=utf-8,Slack API: Applications | Slack,0,0,no,no,yes,yes,no,yes,no,yes,no,reject_paid,payment/pricing signal found; login/register signal found; CAPTCHA signal found; directory/listing marketplace text signal found,,2026-05-22T10:05:59.924Z
p2-recheck-001,14,95,verify_directory_fit_before_any_approval,https://apitracker.io/mcp-servers,apitracker.io,403,no,https://apitracker.io/mcp-servers,apitracker.io,no,text/html; charset=utf-8,403: Forbidden,0,0,no,no,no,no,no,no,no,no,no,review_fetch_failed,HTTP 403,HTTP 403,2026-05-22T10:06:00.868Z
p2-recheck-001,15,96,verify_directory_fit_before_any_approval,https://www.apsense.com/,apsense.com,200,yes,https://www.apsense.com/,apsense.com,no,text/html; charset=UTF-8,APSense: The All-in-One Digital Marketing Hub,1,4,yes,no,yes,yes,no,no,no,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; 1 form(s), 4 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T10:06:01.588Z
p2-recheck-002,118,97,verify_directory_fit_before_any_approval,https://www.arlindovsky.net/2022/06/calendarizacao-da-mobilidade-por-doenca,arlindovsky.net,200,yes,https://www.arlindovsky.net/2022/06/calendarizacao-da-mobilidade-por-doenca,arlindovsky.net,no,text/html; charset=UTF-8,Calendarização da Mobilidade por Doença &#8211; Blog DeAr Lindo,6,32,yes,no,yes,no,no,yes,no,no,no,reject_auth_required,"CAPTCHA signal found; 6 form(s), 32 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T10:49:40.206Z
p2-recheck-002,119,98,verify_directory_fit_before_any_approval,https://www.arlindovsky.net/2024/05/e-depois-de-abril-paulo-prudencio,arlindovsky.net,200,yes,https://www.arlindovsky.net/2024/05/e-depois-de-abril-paulo-prudencio,arlindovsky.net,no,text/html; charset=UTF-8,E depois de Abril &#8211; Paulo Prudêncio &#8211; Blog DeAr Lindo,6,32,yes,no,no,no,no,yes,no,no,no,reject_auth_required,"CAPTCHA signal found; 6 form(s), 32 input/select/textarea fields; submit/add/list/publish button text signal found",,2026-05-22T10:49:43.524Z
p2-recheck-001,16,99,verify_directory_fit_before_any_approval,https://www.articlesbase.com/,articlesbase.com,200,yes,https://articlesbase.com/,articlesbase.com,no,text/html; charset=UTF-8,ArticlesBase,5,15,yes,no,yes,yes,no,yes,yes,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 5 form(s), 15 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T10:06:03.102Z
p2-recheck-001,17,100,verify_directory_fit_before_any_approval,https://www.artstation.com/,artstation.com,,no,,,unknown,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,fetch failed,fetch failed,2026-05-22T10:06:05.764Z
p2-recheck-001,18,101,verify_directory_fit_before_any_approval,https://www.athlinks.com/,athlinks.com,200,yes,https://www.athlinks.com/,athlinks.com,no,text/html; charset=UTF-8,Athlinks,0,0,no,no,no,no,no,yes,yes,no,no,reject_auth_required,CAPTCHA signal found; Cloudflare/human verification signal found,,2026-05-22T10:06:16.267Z
p2-recheck-002,120,102,verify_directory_fit_before_any_approval,https://athomeinthefuture.com/2022/03/design-decorate-perfect-backyard,athomeinthefuture.com,200,yes,https://athomeinthefuture.com/2022/03/design-decorate-perfect-backyard/,athomeinthefuture.com,no,text/html; charset=UTF-8,How to Design and Decorate a Perfect Backyard - At Home in the Future,1,1,yes,no,yes,yes,no,yes,no,no,no,reject_auth_required,"login/register signal found; CAPTCHA signal found; 1 form(s), 1 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T10:49:44.900Z
