batch_id,batch_order,review_row,review_action,url,domain,http_status,fetch_ok,final_url,final_domain,domain_changed,content_type,title,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,suggested_decision,evidence_notes,fetch_error,checked_at
p2-004,311,347,verify_directory_fit_before_any_approval,https://www.mae.gov.bi/en/an-audience-with-the-iom-head-of-the-mission-in-burundi,mae.gov.bi,200,yes,https://www.mae.gov.bi/en/an-audience-with-the-iom-head-of-the-mission-in-burundi/,mae.gov.bi,no,text/html; charset=UTF-8,"An audience with the IOM Head of the Mission in Burundi &#8211; Ministry of Foreign Affairs, Republic of Burundi",3,9,yes,no,yes,yes,no,yes,no,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 9 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:36:57.386Z
p2-004,312,348,verify_directory_fit_before_any_approval,https://www.mae.gov.bi/en/vacancy-announcement,mae.gov.bi,200,yes,https://www.mae.gov.bi/en/vacancy-announcement/,mae.gov.bi,no,text/html; charset=UTF-8,"Vacancy Announcement &#8211; Ministry of Foreign Affairs, Republic of Burundi",3,9,yes,no,yes,yes,no,yes,no,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 9 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:37:04.080Z
p2-004,313,349,verify_directory_fit_before_any_approval,https://www.majalahsains.com/careers/employer/lawrence,majalahsains.com,404,no,https://www.majalahsains.com/careers/employer/lawrence,majalahsains.com,no,text/html; charset=UTF-8,Page not found &#8211; MajalahSains,5,5,yes,no,yes,no,no,yes,yes,no,no,review_fetch_failed,"CAPTCHA signal found; Cloudflare/human verification signal found; 5 form(s), 5 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; HTTP 404",HTTP 404,2026-05-22T08:37:07.864Z
p2-004,314,353,verify_directory_fit_before_any_approval,https://www.makeupsavvy.co.uk/2019/12/best-budget-concealers-for-pale-skin-2019.html,makeupsavvy.co.uk,200,yes,https://www.makeupsavvy.co.uk/2019/12/best-budget-concealers-for-pale-skin-2019.html,makeupsavvy.co.uk,no,text/html; charset=UTF-8,The Best Budget Concealers for Pale Skin | Makeup Savvy - makeup and beauty blog,1,1,no,no,yes,no,no,no,yes,no,no,reject_auth_required,"Cloudflare/human verification signal found; 1 form(s), 1 input/select/textarea fields; directory/listing marketplace text signal found",,2026-05-22T08:37:15.260Z
p2-004,315,354,verify_directory_fit_before_any_approval,https://www.mangoandsalt.com/2023/05/04/galgos-podencos-tout-savoir-adoption-levriers-despagne,mangoandsalt.com,200,yes,https://www.mangoandsalt.com/2023/05/04/galgos-podencos-tout-savoir-adoption-levriers-despagne/,mangoandsalt.com,no,text/html; charset=UTF-8,Galgos &amp; Podencos – Tout savoir sur les lévriers d&#039;Espagne - Mango and Salt,2,12,yes,no,yes,no,no,yes,no,yes,no,reject_paid,"payment/pricing signal found; CAPTCHA signal found; 2 form(s), 12 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:37:17.087Z
p2-004,316,355,verify_directory_fit_before_any_approval,https://www.mangoandsalt.com/2024/07/11/collection-de-chaussures-barefoot-avis-conseils-2,mangoandsalt.com,200,yes,https://www.mangoandsalt.com/2024/07/11/collection-de-chaussures-barefoot-avis-conseils-2/,mangoandsalt.com,no,text/html; charset=UTF-8,Ma collection de chaussures barefoot: avis et conseils #2 - Mango and Salt,2,12,yes,no,yes,no,no,yes,no,yes,no,reject_paid,"payment/pricing signal found; CAPTCHA signal found; 2 form(s), 12 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:37:20.541Z
p2-004,317,356,verify_directory_fit_before_any_approval,https://www.manilashopper.com/2014/11/the-stoneware-pottery-shop-in-cagayan.html,manilashopper.com,200,yes,https://www.manilashopper.com/2014/11/the-stoneware-pottery-shop-in-cagayan.html,manilashopper.com,no,text/html; charset=UTF-8,Manila Shopper: Timeless Charm: Discovering Stoneware Pottery in Cagayan de Oro Philippines,2,6,yes,no,yes,no,no,yes,no,yes,no,reject_paid,"payment/pricing signal found; CAPTCHA signal found; 2 form(s), 6 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:37:21.332Z
p2-004,318,359,verify_directory_fit_before_any_approval,https://mastodon.social/@rstevens/112532171747034727,mastodon.social,,no,,,unknown,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,This operation was aborted,This operation was aborted,2026-05-22T08:37:24.023Z
p2-004,319,361,verify_directory_fit_before_any_approval,https://metric-converter.net/,metric-converter.net,,no,,,unknown,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,fetch failed,fetch failed,2026-05-22T08:37:34.028Z
p2-004,320,362,verify_directory_fit_before_any_approval,https://www.michaelgeist.ca/2023/05/this-must-stop-government-and-liberal-party-go-all-in-on-speech-regulation-with-political-truth-oversight-bodies-mandated-press-source-tracing-and-disclosure-of-critics-communications,michaelgeist.ca,500,no,https://www.michaelgeist.ca/2023/05/this-must-stop-government-and-liberal-party-go-all-in-on-speech-regulation-with-political-truth-oversight-bodies-mandated-press-source-tracing-and-disclosure-of-critics-communications,michaelgeist.ca,no,text/html; charset=UTF-8,Database Error,0,0,no,no,no,no,no,yes,no,no,no,review_fetch_failed,CAPTCHA signal found; HTTP 500,HTTP 500,2026-05-22T08:37:34.698Z
