batch_id,batch_order,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,canonical_name,pricing,lang,classification,candidate_import_recommendation,url,domain,occurrence_count,source_files,source_locations,registry_target_ids,registry_submit_urls
p2-003,217,P2,26,150,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,blogs.eltiempo.com,unknown,unknown,missing_domain,needs_manual_review,https://blogs.eltiempo.com/el-tiempo-del-cine/2025/02/10/oscar-2025-analisis-de-cada-categoria-parte-i,blogs.eltiempo.com,1,repo-external-links.csv,repo-external-links.csv:row 100:url,,
p2-003,218,P2,26,151,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,blogs.evergreen.edu,unknown,unknown,missing_domain,needs_manual_review,http://blogs.evergreen.edu/morisa24/box-2-2,blogs.evergreen.edu,1,repo-external-links.csv,repo-external-links.csv:row 5:url,,
p2-003,219,P2,26,152,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,blogs.evergreen.edu,unknown,unknown,missing_domain,needs_manual_review,http://blogs.evergreen.edu/morisa24/box-4,blogs.evergreen.edu,1,repo-external-links.csv,repo-external-links.csv:row 6:url,,
p2-003,220,P2,26,153,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,blogs.memphis.edu,unknown,unknown,missing_domain,needs_manual_review,https://blogs.memphis.edu/padm3601/2015/02/11/death-penalty,blogs.memphis.edu,1,repo-external-links.csv,repo-external-links.csv:row 101:url,,
p2-003,221,P2,26,154,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,blogs.ubc.ca,unknown,unknown,missing_domain,needs_manual_review,https://blogs.ubc.ca/etec540socialmedia2013/sample-page/introduction-to-google,blogs.ubc.ca,1,repo-external-links.csv,repo-external-links.csv:row 102:url,,
p2-003,222,P2,26,155,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,blogs.ucl.ac.uk,unknown,unknown,missing_domain,needs_manual_review,https://blogs.ucl.ac.uk/brits/2014/06/01/sales-growth-curves,blogs.ucl.ac.uk,1,repo-external-links.csv,repo-external-links.csv:row 103:url,,
p2-003,223,P2,26,156,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,blogs.urz.uni-halle.de,unknown,unknown,missing_domain,needs_manual_review,https://blogs.urz.uni-halle.de/startklar/quellen-und-verweise/comment-page-3,blogs.urz.uni-halle.de,1,repo-external-links.csv,repo-external-links.csv:row 104:url,,
p2-003,224,P2,26,157,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,blogs.uww.edu,unknown,unknown,missing_domain,needs_manual_review,https://blogs.uww.edu/artofmakai/2021/03/23/hyper-light-drifter-the-game-that-taught-me-how-to-play-video-games,blogs.uww.edu,1,repo-external-links.csv,repo-external-links.csv:row 105:url,,
p2-003,225,P2,26,158,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,blogs.uww.edu,unknown,unknown,missing_domain,needs_manual_review,https://blogs.uww.edu/artofmakai/2021/04/13/how-to-draw-the-importance-of-schedules,blogs.uww.edu,1,repo-external-links.csv,repo-external-links.csv:row 106:url,,
p2-003,226,P2,26,159,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,blogs.zeiss.com,unknown,unknown,missing_domain,needs_manual_review,https://blogs.zeiss.com/news/messtechnik-de/sorgsamkeit-bringt-sie-weiter,blogs.zeiss.com,1,repo-external-links.csv,repo-external-links.csv:row 107:url,,
