batch_id,batch_order,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,canonical_name,pricing,lang,classification,candidate_import_recommendation,url,domain,occurrence_count,source_files,source_locations,registry_target_ids,registry_submit_urls
p2-recheck-004,128,P2,26,400,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,onesweetmess.com,unknown,unknown,missing_domain,needs_manual_review,https://www.onesweetmess.com/2017/06/08/cherry-negroni,onesweetmess.com,1,resources/backlink-resources.json,resources/backlink-resources.json:1071,,
p2-recheck-004,129,P2,26,408,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,paleorunningmomma.com,unknown,unknown,missing_domain,needs_manual_review,https://www.paleorunningmomma.com/garlic-tuscan-shrimp-paleo-whole30,paleorunningmomma.com,1,resources/backlink-resources.json,resources/backlink-resources.json:1203,,
p2-recheck-004,130,P2,26,409,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,papertraildesign.com,unknown,unknown,missing_domain,needs_manual_review,https://www.papertraildesign.com/football-water-bottle-labels-free-printable,papertraildesign.com,1,resources/backlink-resources.json,resources/backlink-resources.json:1797,,
p2-recheck-004,131,P2,26,410,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,participacion.puertodelrosario.org,unknown,unknown,missing_domain,needs_manual_review,https://participacion.puertodelrosario.org/profiles/albaucb/groups,participacion.puertodelrosario.org,1,resources/backlink-resources.json,resources/backlink-resources.json:642,,
p2-recheck-004,132,P2,26,412,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,patisserie-okumoto.com,unknown,unknown,missing_domain,needs_manual_review,https://www.patisserie-okumoto.com/hpgen/HPB/entries/1.html?https%3A%2F%2Ffuhrerschein-eu.com%2F=,patisserie-okumoto.com,1,resources/backlink-resources.json,resources/backlink-resources.json:2402,,
p2-recheck-004,133,P2,26,417,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,peoplespunditdaily.com,unknown,unknown,missing_domain,needs_manual_review,https://www.peoplespunditdaily.com/news/us/2020/03/27/trump-pulls-trigger-on-defense-production-act-to-require-gm-to-make-ventilators,peoplespunditdaily.com,1,resources/backlink-resources.json,resources/backlink-resources.json:1170,,
p2-recheck-004,134,P2,26,418,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,pharmahub.org,unknown,unknown,missing_domain,needs_manual_review,https://pharmahub.org/kb/registration/login2,pharmahub.org,1,resources/backlink-resources.json,resources/backlink-resources.json:444,,
p2-recheck-004,135,P2,26,419,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,pinkcaddytravelogue.com,unknown,unknown,missing_domain,needs_manual_review,https://www.pinkcaddytravelogue.com/7-day-iceland-itinerary,pinkcaddytravelogue.com,1,resources/backlink-resources.json,resources/backlink-resources.json:1412,,
p2-recheck-004,136,P2,26,422,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,pixel77.com,unknown,unknown,missing_domain,needs_manual_review,https://pixel77.com/fonts-for-posters,pixel77.com,1,resources/backlink-resources.json,resources/backlink-resources.json:2160,,
p2-recheck-004,137,P2,26,423,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,pixel77.com,unknown,unknown,missing_domain,needs_manual_review,https://pixel77.com/typography-rules-technique,pixel77.com,1,resources/backlink-resources.json,resources/backlink-resources.json:224,,
